Date,Price,Open,High,Low,Vol.,Change %
21-01-2020,17.808,18.04,17.62,17.62,57.76K,-0.73%
16-01-2020,17.939,18.01,17.875,17.875,69.18K,-0.27%
15-01-2020,17.988,17.8,17.755,17.755,58.31K,1.39%
14-01-2020,17.742,17.975,17.69,17.69,73.76K,-1.41%
13-01-2020,17.996,18.13,17.935,17.935,84.39K,0.33%
09-01-2020,17.936,18.12,17.815,17.815,80.66K,-1.27%
08-01-2020,18.167,18.45,18.085,18.085,101.36K,-1.23%
07-01-2020,18.393,18.185,17.975,17.975,180.48K,1.18%
06-01-2020,18.179,18.17,18.045,18.045,111.96K,0.74%
02-01-2020,18.046,17.905,17.83,17.83,110.02K,0.70%
31-12-2019,17.921,17.97,18.2,17.87,62.11K,-0.44%
30-12-2019,18.001,17.86,18.02,17.83,62.11K,0.25%
26-12-2019,17.956,17.795,18.1,17.785,70.18K,2.82%
23-12-2019,17.463,17.25,17.46,17.25,64.68K,2.03%
19-12-2019,17.116,16.92,17.115,16.92,65.65K,0.62%
18-12-2019,17.01,17.075,17.075,16.98,47.39K,-0.15%
17-12-2019,17.036,17.09,17.115,17.045,47.19K,-0.24%
16-12-2019,17.077,16.93,17.085,16.93,45.74K,0.98%
12-12-2019,16.912,16.895,17.095,16.8,77.90K,0.61%
11-12-2019,16.81,16.84,16.875,16.84,113.42K,0.88%
10-12-2019,16.664,16.655,16.77,16.625,62.67K,0.39%
09-12-2019,16.6,16.595,16.595,16.595,50.20K,-2.46%
05-12-2019,17.019,16.905,16.995,16.905,110.18K,0.82%
04-12-2019,16.881,17.2,17.2,16.9,69.27K,-1.88%
03-12-2019,17.204,17.05,17.22,17.035,112.99K,1.70%
02-12-2019,16.916,17.025,17.025,16.87,90.11K,-0.55%
27-11-2019,17.009,17.19,17.2,17.025,69.20K,-0.51%
26-11-2019,17.096,16.84,17.125,16.84,61.62K,0.93%
25-11-2019,16.939,16.995,17,16.88,84.26K,-1.03%
21-11-2019,17.116,17.21,17.21,17.065,78.64K,-0.29%
20-11-2019,17.166,17.12,17.22,17.065,95.17K,-0.02%
19-11-2019,17.169,17.08,17.2,17,98.37K,0.69%
18-11-2019,17.051,17.015,17.08,16.795,94.71K,-0.16%
14-11-2019,17.078,17,17.115,16.945,66.80K,0.68%
13-11-2019,16.963,16.815,17,16.815,79.01K,1.33%
12-11-2019,16.74,16.73,16.835,16.68,99.84K,-0.66%
11-11-2019,16.852,16.815,16.955,16.69,93.98K,-1.25%
07-11-2019,17.065,17.655,17.69,17,135.57K,-3.34%
06-11-2019,17.654,17.635,17.66,17.45,166.41K,0.18%
05-11-2019,17.623,18.115,18.115,17.6,101.43K,-2.76%
04-11-2019,18.123,18.195,18.21,18.035,141.97K,-0.01%
31-10-2019,18.124,17.99,18.165,17.975,89.93K,1.13%
30-10-2019,17.921,17.87,17.99,17.735,103.41K,0.50%
29-10-2019,17.831,17.87,17.905,17.605,84.39K,-0.25%
28-10-2019,17.876,18.065,18.145,17.785,78.57K,0.40%
24-10-2019,17.804,17.575,17.86,17.485,133.99K,1.27%
23-10-2019,17.58,17.55,17.63,17.515,76.01K,0.46%
22-10-2019,17.5,17.58,17.68,17.44,51.19K,-0.58%
21-10-2019,17.602,17.615,17.895,17.53,56.64K,-0.06%
17-10-2019,17.612,17.415,17.665,17.33,48.12K,1.06%
16-10-2019,17.427,17.43,17.49,17.18,62.37K,0.25%
15-10-2019,17.384,17.695,17.765,17.37,80.64K,-1.84%
14-10-2019,17.71,17.59,17.735,17.455,71.96K,0.61%
10-10-2019,17.602,17.8,17.935,17.455,102.67K,-1.17%
09-10-2019,17.81,17.775,18,17.72,93.95K,0.62%
08-10-2019,17.7,17.49,17.86,17.305,67.68K,0.91%
07-10-2019,17.54,17.665,17.7,17.435,91.07K,-0.77%
03-10-2019,17.676,17.63,17.845,17.515,59.58K,-0.04%
02-10-2019,17.683,17.31,17.73,17.24,70.00K,2.20%
01-10-2019,17.302,17.045,17.375,16.94,70.48K,1.79%
30-09-2019,16.998,17.59,17.66,16.98,82.42K,-4.85%
26-09-2019,17.864,17.915,18.05,17.76,134.22K,-0.89%
25-09-2019,18.024,18.67,18.695,17.865,110.04K,-2.99%
24-09-2019,18.579,18.64,18.71,18.285,132.58K,-0.44%
23-09-2019,18.661,17.85,18.685,17.85,132.63K,4.63%
19-09-2019,17.835,17.785,17.93,17.67,59.13K,-0.19%
18-09-2019,17.869,18.06,18.06,17.57,65.97K,-1.21%
17-09-2019,18.088,17.835,18.09,17.835,100.53K,0.63%
16-09-2019,17.974,17.775,17.94,17.775,88.43K,-0.83%
12-09-2019,18.125,18.13,18.44,18.08,106.47K,0.05%
11-09-2019,18.116,18.18,18.18,18.05,99.70K,-0.08%
10-09-2019,18.131,18,18.185,18,84.66K,0.08%
09-09-2019,18.116,18.095,18.205,18.08,116.63K,-3.39%
05-09-2019,18.752,19.51,19.51,18.73,221.80K,-3.80%
04-09-2019,19.493,19.32,19.425,19.32,194.13K,1.60%
03-09-2019,19.186,18.585,19.19,18.47,156.69K,4.99%
29-08-2019,18.274,18.45,18.76,18.15,115.42K,-0.49%
28-08-2019,18.364,18.18,18.52,18.065,161.56K,0.91%
27-08-2019,18.199,17.67,18.22,17.655,97.74K,2.91%
26-08-2019,17.685,17.46,17.78,17.46,107.65K,3.51%
22-08-2019,17.086,17.095,17.145,16.965,112.35K,-0.65%
21-08-2019,17.197,17.14,17.215,17.08,70.97K,0.02%
20-08-2019,17.194,16.925,17.22,16.925,70.32K,1.23%
19-08-2019,16.985,17.15,17.15,16.87,72.36K,-1.56%
15-08-2019,17.254,17.24,17.355,17.16,71.92K,-0.42%
14-08-2019,17.326,17.005,17.32,16.925,96.52K,1.75%
13-08-2019,17.028,17.35,17.525,16.56,116.02K,-0.51%
12-08-2019,17.116,17.035,17.18,16.88,182.99K,0.82%
08-08-2019,16.976,17.155,17.2,16.875,98.62K,-1.51%
07-08-2019,17.237,16.525,17.275,16.525,124.04K,4.56%
06-08-2019,16.485,16.535,16.54,16.415,174.98K,0.32%
05-08-2019,16.433,16.285,16.565,16.285,71.82K,1.33%
01-08-2019,16.217,16.04,16.395,16.04,100.15K,-1.38%
31-07-2019,16.444,16.525,16.525,16.35,122.90K,-0.95%
30-07-2019,16.601,16.615,16.765,16.56,107.09K,0.98%
29-07-2019,16.44,16.42,16.5,16.36,57.74K,0.18%
25-07-2019,16.411,16.62,16.685,16.345,80.58K,-1.29%
24-07-2019,16.626,16.435,16.68,16.35,121.09K,0.91%
23-07-2019,16.476,16.38,16.575,16.205,84.63K,0.40%
22-07-2019,16.411,16.255,16.455,16.195,111.41K,1.31%
18-07-2019,16.198,16.005,16.385,15.96,173.87K,1.42%
17-07-2019,15.971,15.585,16.03,15.555,149.09K,1.87%
16-07-2019,15.678,15.415,15.735,15.34,111.24K,2.04%
15-07-2019,15.365,15.24,15.43,15.185,128.87K,1.45%
11-07-2019,15.146,15.265,15.345,15.12,49.16K,-0.53%
10-07-2019,15.226,15.135,15.315,15.07,60.63K,0.52%
09-07-2019,15.147,15.035,15.155,14.965,73.72K,0.64%
08-07-2019,15.05,15.05,15.15,14.985,49.64K,-1.86%
03-07-2019,15.336,15.37,15.51,15.24,109.25K,0.64%
